SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
29.0,15.0,56.0,1.5,16.031832622606792,0.39,0.255,0.121,0.10890000000000001,0.4339622641509434,0.4123913043478261,3.625,40.0,1.0,0.08,0.5,7.41,1.453488372093023,8.2,0.255,0,50,50,45,1000,605,2
29.0,15.0,56.0,1.5,16.031832622606792,0.39,0.255,0.121,0.10890000000000001,0.4339622641509434,0.4123913043478261,3.625,40.0,1.0,0.08,0.5,7.41,1.453488372093023,8.2,0.255,50,100,50,45,1000,605,2
29.0,15.0,56.0,1.5,16.031832622606792,0.39,0.255,0.121,0.10890000000000001,0.4339622641509434,0.4123913043478261,3.625,40.0,1.0,0.08,0.5,7.41,1.453488372093023,8.2,0.255,100,150,50,45,1000,605,2
29.0,15.0,56.0,1.5,16.031832622606792,0.39,0.255,0.121,0.10890000000000001,0.4339622641509434,0.4123913043478261,3.625,40.0,1.0,0.08,0.5,7.41,1.453488372093023,8.2,0.255,150,200,50,45,1000,605,2
22.7,24.8,52.5,1.57,8.364634859366241,0.39275757575757575,0.3019,0.1672,0.16357,0.4075471698113207,0.254850724637681,3.87,40.0,1.0,0.07365676953890754,0.5,7.41,1.0465116279069766,13.38,0.3019,200,400,200,45,1000,605,2
37.1,30.8,32.1,1.7169999999999999,5.955740712621996,0.3496212121212121,0.3121,0.20590000000000003,0.20590000000000003,0.3520754716981132,0.11249963768115949,3.9975,40.0,1.0,0.06125417767286285,0.5,7.41,0.4796511627906977,16.41,0.3121,400,600,200,45,1000,605,2
39.7,28.9,31.4,1.73,7.6836769534609815,0.34469696969696967,0.29875,0.19435000000000002,0.19435000000000002,0.34716981132075475,0.13947010869565227,3.95625,40.0,1.0,0.05685874826352347,0.5,7.41,0.436046511627907,14.645,0.29875,600,800,200,45,1000,605,2
42.35,21.4,36.25,1.7615,14.29248497635404,0.33276515151515157,0.2499,0.1465,0.1465,0.3352830188679245,0.2569088235294117,3.785,40.0,0.595,0.04250777648598926,0.5,7.41,0.3052325581395349,9.58,0.2499,800,1000,200,45,1000,605,2
44.0,17.0,39.0,1.8,18.66897147796024,0.31818181818181823,0.218,0.11900000000000001,0.11900000000000001,0.320754716981132,0.32035294117647045,3.675,40.0,0.1,0.03250226146100007,0.5,7.41,0.14534883720930233,7.6,0.218,1000,1500,500,45,1000,605,2
44.0,17.0,39.0,1.8,18.66897147796024,0.31818181818181823,0.218,0.11900000000000001,0.11900000000000001,0.320754716981132,0.32035294117647045,3.675,40.0,0.1,0.03250226146100007,0.5,7.41,0.14534883720930233,7.6,0.218,1500,2000,500,45,1000,605,2
17.0,14.0,69.0,1.52,9.92482449411842,0.391,0.271,0.115,0.10350000000000001,0.4264150943396226,0.3644690265486725,3.6,40.0,1.0,0.08,0.5,7.41,1.453488372093023,15.0,0.271,0,50,50,45,1000,613,3
